Code,x,y
beruwala-kalpeni,14708,2442
beruwala-kalpeni,13948,2426
male-kanyakumari,14386,2370
male-kanyakumari,14000,1686
male-kollam,14060,2376
male-kollam,13584,1736
kalpeni-kochi,12708,2546
kalpeni-kochi,12726,2178
kalpeni-kochi,12780,2182
kalpeni-kochi,12752,2542
kalpeni-kochi,12798,2552
kalpeni-kochi,12820,2252
kalpeni-kozhikode,12586,2540
kalpeni-kozhikode,12440,2336
kalpeni-kozhikode,12272,2028
kalpeni-kozhikode,12218,1744
somali-coast,16044,3860
somali-coast,15788,3744
somali-coast,15620,3728
somali-coast,15284,3760
somali-coast,15004,3636
somali-coast,14836,3612
somali-coast,14700,3532
somali-coast,14496,3512
somali-coast,14292,3432
somali-coast,14196,3444
somali-coast,14012,3472
somali-coast,13788,3372
somali-coast,13636,3332
somali-coast,13536,3288
somali-coast,13440,3280
andrott-kavaratti,11215,2498
andrott-kavaratti,11526,2328
andrott-kavaratti,11852,2212
andrott-kozhikode,11146,2414
andrott-kozhikode,11485,2256
andrott-kozhikode,11789,2125
mangalore-kozhikode,10763,1891
mangalore-kozhikode,10969,2063
mangalore-kozhikode,11125,2146
mangalore-kozhikode,11301,2173
mangalore-kozhikode,11302,2114
mangalore-kozhikode,11108,2077
mangalore-kozhikode,10932,1981
mangalore-kozhikode,10952,1932
mangalore-kozhikode,11084,2011
mangalore-kozhikode,11220,2055
rasfartak-oman,10492,2398
rasfartak-oman,10194,2402
rasfartak-oman,10006,2422
rasfartak-oman,9818,2490
rasfartak-oman,9442,2678
rasfartak-oman,9282,2744
rasfartak-oman,9010,2786
rasfartak-oman,9058,2838
rasfartak-oman,9142,2832
rasfartak-oman,9174,2872
rasfartak-oman,8914,2926
rasfartak-oman,8602,2924
rasfartak-oman,7956,2992
rasfartak-oman,6846,2914
rasfartak-oman,6420,2852
mangalore-qalhat,10056,1922
mangalore-qalhat,9694,2126
mangalore-qalhat,9288,2270
mangalore-qalhat,8410,2338
anjediva-qalhat-a,9842,1814
anjediva-qalhat-a,9588,1988
anjediva-qalhat-a,9266,2070
anjediva-qalhat-a,8936,2098
anjediva-qalhat-b,9552,1826
anjediva-qalhat-b,9150,1928
anjediva-qalhat-b,8516,1898
goa-qalhat,9300,1708
goa-qalhat,9014,1660
goa-qalhat,8866,1674
goa-qalhat,8570,1738
goa-qalhat,8282,1740
mumbai-musandam,7468,1722
mumbai-musandam,7046,1836
mumbai-musandam,6630,1840
mumbai-musandam,6244,1802
mumbai-musandam,5956,1732
mumbai-musandam,5764,1650
mumbai-musandam,5670,1626
gujarat-coast,7560,1624
gujarat-coast,7408,1640
gujarat-coast,7024,1752
gujarat-coast,6414,1728
gujarat-coast,6168,1684
gujarat-coast,5724,1538
gujarat-coast,5352,1534
quoin-qeshm,1790,2824
quoin-qeshm,1636,3084
quoin-qeshm,1684,3202
quoin-qeshm,1668,3568
xiyang-beijiao,75894,2643
xiyang-beijiao,75406,2731
xiyang-beijiao,74424,3219
minicoy-kozhikode,13334,2285
minicoy-kozhikode,13056,2265
minicoy-kozhikode,13081,2300
minicoy-kozhikode,13324,2333
minicoy-kozhikode,13339,2358
minicoy-kozhikode,13051,2345
minicoy-kochi,13318,2176
minicoy-kochi,13002,2153
minicoy-kochi,13151,2126
minicoy-kochi,13314,2114
minicoy-kochi,13334,2071
minicoy-kochi,13170,2080
qalhat-hormuz,5266,2168
qalhat-hormuz,4832,2172
qalhat-hormuz,4202,2228
qalhat-hormuz,3588,2022
qalhat-hormuz,3144,2058
qalhat-hormuz,2730,1972
qalhat-hormuz,2597,1916
qalhat-hormuz,2261,2200
qalhat-hormuz,2243,2134
qalhat-hormuz,2539,1898
qalhat-hormuz,2705,1890
qalhat-hormuz,2937,1978
qalhat-hormuz,3261,1996
qalhat-hormuz,3513,1954
qalhat-hormuz,3737,2014
qalhat-hormuz,3943,2122
qalhat-hormuz,4157,2174
qalhat-hormuz,4555,2154
qalhat-hormuz,4777,2130
qalhat-hormuz,5089,2114
qalhat-hormuz,5177,2116
qalhat-hormuz,5193,2072
qalhat-hormuz,4689,2080
qalhat-hormuz,4307,2130
qalhat-hormuz,4221,2112
outside-xiyang,77724,3215
outside-xiyang,77480,3333
outside-xiyang,77110,3407
outside-xiyang,76926,3405
outside-xiyang,76542,3331
outside-xiyang,76048,3295
outside-xiyang,75988,3303
outside-xiyang,75770,3443
outside-xiyang,75574,3487
outside-xiyang,75246,3497
outside-xiyang,74868,3441
outside-xiyang,74236,3249
into-dinghai,73776,3239
into-dinghai,73590,3179
into-dinghai,73420,3037
into-dinghai,73338,2875
into-dinghai,73354,2723
into-dinghai,73382,2637
into-dinghai,73452,2513
around-nangan,73036,3243
around-nangan,72968,3455
around-nangan,73030,3549
around-nangan,73224,3533
around-nangan,73350,3447
around-nangan,73494,3477
around-nangan,73787,3643
into-fuzhou,72182,2954
into-fuzhou,72316,2800
into-fuzhou,72336,2678
into-fuzhou,72262,2460
into-fuzhou,72274,2098
