Code,x,y
northbound-page-9-b,66904,3240
northbound-page-8-a,65648,3376
northbound-page-8-a,66000,3436
northbound-page-8-a,66920,3380
northbound-page-8-b,68920,3452
northbound-page-8-b,69204,3624
northbound-page-8-b,69496,3728
northbound-page-8-b,69772,3768
northbound-page-8-b,70184,3680
northbound-page-8-b,70496,3652
northbound-page-8-b,70736,3700
northbound-page-8-b,70968,3800
northbound-page-7-a,71044,3704
northbound-page-7-a,71532,3780
northbound-page-7-a,71792,3776
northbound-page-7-a,72164,3720
northbound-page-7-a,72856,3708
northbound-page-7-a,73480,3720
northbound-page-7-a,73728,3712
northbound-page-7-a,74212,3832
northbound-page-7-a,74448,3956
northbound-page-7-a,74612,4080
northbound-page-7-a,74812,4100
northbound-page-7-b,75268,3944
northbound-page-7-b,75556,3812
northbound-page-7-b,75756,3792
northbound-page-7-b,75904,3812
northbound-page-7-b,75988,3960
northbound-page-7-b,76416,3964
northbound-page-7-b,76696,3980
northbound-page-7-b,77272,4112
northbound-page-7-b,77692,4108
northbound-page-7-b,77908,4084
northbound-page-7-b,78320,3992
nanji-damianshan,79280,3944
nanji-damianshan,79688,3588
nanji-damianshan,79836,3488
nanji-damianshan,80396,3496
nanji-damianshan,80996,3392
nanji-damianshan,81408,3360
nanji-damianshan,81580,3384
nanji-damianshan,82340,3560
nanji-damianshan,82964,3588
nanji-damianshan,83428,3508
nanji-damianshan,83908,3389
nanji-damianshan,84156,3357
nanji-damianshan,84656,3429
nanji-damianshan,85336,3377
nanji-damianshan,85656,3361
nanji-damianshan,86432,3085
nanji-damianshan,86676,3013
nanji-damianshan,86828,3025
nanji-damianshan,86816,3073
nanji-damianshan,86660,3061
nanji-damianshan,86508,3097
nanji-damianshan,86092,3285
nanji-damianshan,85752,3393
nanji-damianshan,85640,3405
nanji-damianshan,85656,3465
nanji-damianshan,85904,3429
nanji-damianshan,86536,3149
nanji-damianshan,86564,3185
nanji-damianshan,86040,3437
nanji-damianshan,85928,3465
nanji-damianshan,85660,3521
nanji-damianshan,85680,3565
nanji-damianshan,86040,3509
nanji-damianshan,86680,3197
damianshan-nanhuizui,86912,3156
damianshan-nanhuizui,87160,3276
damianshan-nanhuizui,87472,3292
damianshan-nanhuizui,87848,3204
damianshan-nanhuizui,88328,3060
damianshan-nanhuizui,89708,3116
damianshan-nanhuizui,90476,2864
damianshan-nanhuizui,90648,2824
damianshan-nanhuizui,91144,2880
damianshan-nanhuizui,91652,2980
damianshan-nanhuizui,92072,2968
damianshan-nanhuizui,92076,3008
damianshan-nanhuizui,91772,3028
damianshan-nanhuizui,91444,2976
damianshan-nanhuizui,91008,2900
damianshan-nanhuizui,90732,2868
damianshan-nanhuizui,90536,2892
damianshan-nanhuizui,90340,2952
damianshan-nanhuizui,90360,2984
damianshan-nanhuizui,90684,2916
damianshan-nanhuizui,90992,2940
damianshan-nanhuizui,91772,3084
damianshan-nanhuizui,92232,3052
damianshan-nanhuizui,92248,2936
damianshan-nanhuizui,92872,2980
damianshan-nanhuizui,93160,2968
damianshan-nanhuizui,93540,3004
damianshan-nanhuizui,93936,3060
damianshan-nanhuizui,94292,3164
damianshan-nanhuizui,94964,3132
damianshan-nanhuizui,95444,2804
damianshan-nanhuizui,95772,2664
damianshan-nanhuizui,96224,2640
damianshan-nanhuizui,96812,2640
sumatra-ambergris,25532,2320
sumatra-ambergris,25284,1988
sumatra-ambergris,25100,1792
sumatra-ambergris,24940,1720
sumatra-ambergris,24436,1740
sumatra-ambergris,24304,1956
sumatra-ambergris,24076,2016
andaman-1,22924,1856
andaman-1,22604,1872
andaman-1,22332,1932
andaman-1,22008,2044
andaman-1,21592,2212
andaman-1,21544,2376
andaman-1,21308,2436
andaman-1,21136,2448
andaman-1,20676,2388
andaman-1,20112,2432
andaman-1,19608,2356
andaman-1,19164,2232
andaman-1,18992,2144
andaman-1,18832,1956
andaman-1,18720,2076
andaman-2,22788,1964
andaman-2,22416,2020
andaman-2,21632,2324
andaman-2,21560,2508
andaman-2,21168,2580
andaman-2,20644,2508
andaman-2,20148,2560
andaman-2,19612,2488
sri-lanka,16044,2986
sri-lanka,15926,3032
sri-lanka,15424,3116
to-male,14928,2426
to-male,14934,3118
male-mogadishu,14632,3284
male-mogadishu,14184,3264
male-mogadishu,13772,3180
male-mogadishu,13468,3180
colombo-renbuzhi,14860,2576
colombo-renbuzhi,14646,2640
colombo-renbuzhi,14240,2704
colombo-kelaa,14775,2522
colombo-kelaa,14143,2520
colombo-gapingnian,14708,2442
colombo-gapingnian,13948,2426
male-gambari,14386,2370
male-gambari,14000,1686
male-quilon,14060,2376
male-quilon,13584,1736
gapingnian-cochin,12708,2546
gapingnian-cochin,12726,2178
gapingnian-cochin,12780,2182
gapingnian-cochin,12752,2542
gapingnian-cochin,12798,2552
gapingnian-cochin,12820,2252
gapingnian-calicut,12586,2540
gapingnian-calicut,12440,2336
gapingnian-calicut,12272,2028
gapingnian-calicut,12218,1744
african-coast,16044,3860
african-coast,15788,3744
african-coast,15620,3728
african-coast,15284,3760
african-coast,15004,3636
african-coast,14836,3612
african-coast,14700,3532
african-coast,14496,3512
african-coast,14292,3432
african-coast,14196,3444
african-coast,14012,3472
african-coast,13788,3372
african-coast,13636,3332
african-coast,13536,3288
african-coast,13440,3280
andouli-kavaratti,11215,2498
andouli-kavaratti,11526,2328
andouli-kavaratti,11852,2212
andouli-calicut,11146,2414
andouli-calicut,11485,2256
andouli-calicut,11789,2125
unknown-calicut,10763,1891
unknown-calicut,10969,2063
unknown-calicut,11125,2146
unknown-calicut,11301,2173
unknown-calicut,11302,2114
unknown-calicut,11108,2077
unknown-calicut,10932,1981
unknown-calicut,10952,1932
unknown-calicut,11084,2011
unknown-calicut,11220,2055
three-six-fingers,10492,2398
three-six-fingers,10194,2402
three-six-fingers,10006,2422
three-six-fingers,9818,2490
three-six-fingers,9442,2678
three-six-fingers,9282,2744
three-six-fingers,9010,2786
three-six-fingers,9058,2838
three-six-fingers,9142,2832
three-six-fingers,9174,2872
three-six-fingers,8914,2926
three-six-fingers,8602,2924
mangalore-qalhat,10056,1922
mangalore-qalhat,9694,2126
mangalore-qalhat,9288,2270
mangalore-qalhat,8410,2338
anjediva-a,9842,1814
anjediva-a,9588,1988
anjediva-a,9266,2070
anjediva-a,8936,2098
anjediva-b,9552,1826
anjediva-b,9150,1928
anjediva-b,8516,1898
goa-qalhat,9300,1708
goa-qalhat,9014,1660
goa-qalhat,8866,1674
goa-qalhat,8570,1738
goa-qalhat,8282,1740
nine-fingers,7468,1722
nine-fingers,7046,1836
nine-fingers,6630,1840
nine-fingers,6244,1802
nine-fingers,5956,1732
nine-fingers,5764,1650
nine-fingers,5670,1626
oman-coast,7956,2992
oman-coast,6846,2914
oman-coast,6420,2852
pakistan-coast,7560,1624
pakistan-coast,7408,1640
pakistan-coast,7024,1752
pakistan-coast,6414,1728
pakistan-coast,6168,1684
pakistan-coast,5724,1538
pakistan-coast,5352,1534
near-hormuz,1790,2824
near-hormuz,1636,3084
near-hormuz,1684,3202
near-hormuz,1668,3568
hongshan-beijiao,75894,2643
hongshan-beijiao,75406,2731
hongshan-beijiao,74424,3219
minicoy-calicut,13334,2285
minicoy-calicut,13056,2265
minicoy-calicut,13081,2300
minicoy-calicut,13324,2333
minicoy-calicut,13339,2358
minicoy-calicut,13051,2345
minicoy-cochin,13318,2176
minicoy-cochin,13002,2153
minicoy-cochin,13151,2126
minicoy-cochin,13314,2114
minicoy-cochin,13334,2071
minicoy-cochin,13170,2080
