Code,lat,lng,Specified Course,Specified Duration,Destination Name,Destination Identified,Calculated Lat,Calculated Lng,Fitted Course,Fitted Distance,Course Error,Dist Error Factor
kepulauanarwah-malacca,2.548198,101.402757,127.5°,12.0 hours,Malacca,,,,,,,
kepulauanarwah-malacca,2.000469,102.116757,127.5°,12.0 hours,Mount Banang,,,,,,,
malacca-karimun,2.1382,102.2523,127.5°,7.2 hours,Pisang Island,,,,,,,
malacca-karimun,1.453948,103.144838,135.0°,,Great Karimun,,,,,,,
malacca-karimun,1.19956,103.39932,,,,,,,,,,
karimun-singaporestrait,1.29,103.4000,112.5°,6.0 hours,,,,,,,,
karimun-singaporestrait,1.1695,103.6909,120.0°,6.0 hours,Pulau Satumu,,,,,,,
karimun-singaporestrait,1.133522,103.753227,,,Exit strait,,,,,,,
karimun-singaporestrait,1.2012,103.86714,,,,,,,,,,
singaporestrait-pedrabranca,1.27475,103.908786,82.5°,12.0 hours,Pedra Branca,,,,,,,
singaporestrait-pedrabranca,1.33349,104.35477,,,,,,,,,,
pedrabranca-pulauaur,1.4,104.35477,22.5°,6.0 hours,,,,,,,,
pedrabranca-pulauaur,1.815481,104.526956,15.0°,6.0 hours,outside Pulau Aur,,,,,,,
pedrabranca-pulauaur,2.423629,104.690054,,,,,,,,,,
pulauaur-conlon,2.4500,104.690054,352.5°,,,,,,,,,
pulauaur-conlon,2.4500,104.690054,15.0°,,outside Côn Lôn,,,,,,,
pulauaur-conlon,8.356102,106.2872,,,,,,,,,,
